Account Name,nsbi_sector,New Georeferenced Column,NSBI Financial Contribution (Commitment/Announced),Place Name,nsbi_county,PostalCode,fiscal year,Longitude,Latitude
Heritage Memorials Limited,Agri-food,POINT (-64.318054 44.819594),"25,000",Windsor,Hants,B0N2T0,2018 - 2019,-64.318054,44.819594
Chelation Partners Incorporated,Life Sciences,POINT (-63.59645 44.637136),"25,000",Halifax,Halifax Regional Municipality,B3H3Z1,2018 - 2019,-63.59645,44.637136
Dykeview Farms Limited,Agri-food,POINT (-64.680474 45.195976),"15,000",Centreville,Kings,B0P1J0,2018 - 2019,-64.680474,45.195976
Fundy Hops,Agri-food,POINT (-64.689373 45.149172),"15,000",Waterville,Kings,B0P1V0,2018 - 2019,-64.689373,45.149172
Atlantick Repellent Products Inc.,Chemicals & Plastics,POINT (-64.307402 44.308292),"25,000",Mahone Bay,Lunenburg,B0J2E0,2018 - 2019,-64.307402,44.308292
Saltbox Brewing Company,Agri-food,POINT (-64.307402 44.308292),"25,000",Mahone Bay,Lunenburg,B0J2E0,2018 - 2019,-64.307402,44.308292
Sea-Pur Seaweed Products,Agri-food,POINT (-60.18298 46.110635),"15,000",Sydney,Cape Breton,B1S3S4,2018 - 2019,-60.18298,46.110635
Alto Solar,Energy,POINT (-63.599844 44.652427),"15,000",Halifax,Halifax Regional Municipality,B3L1P9,2018 - 2019,-63.599844,44.652427
Natural Ocean Products Inc.,ICT (includes Digital Media),POINT (-63.62997 44.469104),"25,000",Halifax,Halifax Regional Municipality,B3V1L9,2018 - 2019,-63.62997,44.469104
RGI Logistics & Technology Inc.,Advanced Manufacturing,POINT (-60.09051595 46.2412227),"15,000",New Waterford,Cape Breton,B1H3R7,2018 - 2019,-60.09051595,46.2412227
L'Acadie Vineyards,Agri-food,POINT (-64.403589 45.013938),"15,000",Wolfville,Kings,B4P2R1,2018 - 2019,-64.403589,45.013938
Stevens Solutions & Design Inc,Advanced Manufacturing,POINT (-64.307402 44.308292),"15,000",Mahone Bay,Lunenburg,B0J2E0,2018 - 2019,-64.307402,44.308292
Bear River Vineyards Ltd.,Agri-food,POINT (-65.610454 44.554357),"15,000",Bear River,Digby,B0S1B0,2018 - 2019,-65.610454,44.554357
Mermaid Fare Inc,Agri-food,POINT (-63.56358 44.667535),"15,000",Dartmouth,Halifax Regional Municipality,B2Y2W1,2018 - 2019,-63.56358,44.667535
ColorSmith,Life Sciences,POINT (-63.58619 44.636159),"15,000",Halifax,Halifax Regional Municipality,B3H1T1,2018 - 2019,-63.58619,44.636159
Bear Cove Resources,Advanced Manufacturing,POINT (-64.710851 44.055473),"15,000",Brooklyn,Lunenburg,B0J1H0,2018 - 2019,-64.710851,44.055473
Defenzall Therapeutics Inc.,Life Sciences,POINT (-63.60358426 44.8481452),"15,000",Fletchers Lake,Halifax Regional Municipality,B2T1A5,2018 - 2019,-63.60358426,44.8481452
Finleaf Technologies Inc.,Agri-food,POINT (-63.657959 44.731599),"15,000",Bedford,Halifax Regional Municipality,B4A1E6,2018 - 2019,-63.657959,44.731599
Stones Pharmacy,Life Sciences,POINT (-60.751528 46.100472),"25,000",Baddeck,Victoria,B0E1B0,2018 - 2019,-60.751528,46.100472
Propel BioEnergy LTD.,Energy,POINT (-63.536483 44.693342),"15,000",Dartmouth,Halifax Regional Municipality,B2X2A5,2018 - 2019,-63.536483,44.693342
Apaqtaukewaq Fishery Co-op,Fish & Seafood Processing,POINT (-60.957559 45.620463),"15,000",St Peters,Richmond,B0E3B0,2018 - 2019,-60.957559,45.620463
PPT Labs Inc.,ICT (includes Digital Media),POINT (-63.58727 44.652558),"25,000",Halifax,Halifax Regional Municipality,B3K3T7,2018 - 2019,-63.58727,44.652558
NovaResp Technologies Inc.,ICT (includes Digital Media),POINT (-63.56954723 44.63642004),"15,000",Halifax,Halifax Regional Municipality,B3H4R4,2018 - 2019,-63.56954723,44.63642004
