ComID,GeogName,DataGroup,DataGroup_Order,Year,Female - .,Female - %,Male - .,Male - %,Total - .,Total - %
MUN15,District of Shelburne,"Mathematics, computer and information sciences",9,2011,20,1,0,0,25,0.7
MUN151,Town of Port Hawkesbury,"Mathematics, computer and information sciences",9,2011,0,0,0,0,20,0.7
MUN152,County of Inverness,"Mathematics, computer and information sciences",9,2011,85,1.4,15,0.3,125,1
MUN161,County of Richmond,"Mathematics, computer and information sciences",9,2011,30,0.7,30,0.8,105,1.3
COM305,Weymouth,Other fields of study,14,2011,0,0,0,0,0,0
mun171,Cape Breton Regional Municipality,"Mathematics, computer and information sciences",9,2011,0,0,0,0,0,0
MUN181,County of Victoria,"Mathematics, computer and information sciences",9,2011,55,1.8,30,1,85,1.4
MUN21,Town of Yarmouth,"Mathematics, computer and information sciences",9,2011,20,0.6,15,0.6,40,0.7
MUN22,District of Argyle,"Mathematics, computer and information sciences",9,2011,30,0.8,15,0.4,45,0.6
MUN23,District of Yarmouth,"Mathematics, computer and information sciences",9,2011,70,1.6,80,1.9,150,1.8
MUN31,Town of Digby,"Mathematics, computer and information sciences",9,2011,0,0,1,0.1,1,0.1
MUN32,District of Clare,"Mathematics, computer and information sciences",9,2011,0,0,45,1.3,65,0.9
MUN33,District of Digby,"Mathematics, computer and information sciences",9,2011,0,0,79,2.6,89,1.4
MUN41,Region of Queens Municipality,"Mathematics, computer and information sciences",9,2011,75,1.6,60,1.3,125,1.3
MUN51,Town of Annapolis Royal,"Mathematics, computer and information sciences",9,2011,0,0,0,0,0,0
MUN52,Town of Bridgetown,"Mathematics, computer and information sciences",9,2011,0,0,0,0,0,0
MUN53,Town of Middleton,"Mathematics, computer and information sciences",9,2011,0,0,0,0,0,0
MUN54,County of Annapolis,"Mathematics, computer and information sciences",9,2011,45,0.6,50,0.7,100,0.7
MUN61,Town of Bridgewater,"Mathematics, computer and information sciences",9,2011,35,0.9,60,1.9,95,1.4
MUN62,Town of Lunenburg,"Mathematics, computer and information sciences",9,2011,0,0,10,1.2,15,0.8
MUN63,Town of Mahone Bay,"Mathematics, computer and information sciences",9,2011,0,0,0,0,10,1.2
MUN64,District of Chester,"Mathematics, computer and information sciences",9,2011,74,1.6,54,1.2,124,1.4
MUN65,District of Lunenburg,"Mathematics, computer and information sciences",9,2011,110,1,155,1.4,260,1.2
MUN71,Town of Berwick,"Mathematics, computer and information sciences",9,2011,0,0,15,1.7,24,1.3
MUN72,Town of Kentville,"Mathematics, computer and information sciences",9,2011,27,1,53,2.3,80,1.6
MUN73,Town of Wolfville,"Mathematics, computer and information sciences",9,2011,30,1.6,35,2.1,65,1.8
MUN74,County of Kings,"Mathematics, computer and information sciences",9,2011,208,1,307,1.6,506,1.3
MUN81,Town of Hantsport,"Mathematics, computer and information sciences",9,2011,0,0,0,0,19,2
MUN82,Town of Windsor,"Mathematics, computer and information sciences",9,2011,34,2.2,34,2.7,69,2.4
MUN83,District of East Hants,"Mathematics, computer and information sciences",9,2011,120,1.3,185,2,310,1.6
MUN84,District of West Hants,"Mathematics, computer and information sciences",9,2011,101,1.7,106,1.8,207,1.7
MUN91,Halifax Regional Municipality,"Mathematics, computer and information sciences",9,2011,3255,1.9,5945,3.8,9195,2.8
PED1,Annapolis,"Mathematics, computer and information sciences",9,2011,45,0.5,50,0.6,101,0.6
PED10,Colchester-Musquodoboit Valley,"Mathematics, computer and information sciences",9,2011,6,0.1,0,0,75,0.5
PED11,Colchester North,"Mathematics, computer and information sciences",9,2011,0,0,0,0,45,0.3
PED12,Cole Harbour-Eastern Passage,"Mathematics, computer and information sciences",9,2011,15,0.2,20,0.3,135,0.9
