ComID,GeogName,DataGroup,DataGroup_Order,Year,Female - .,Female - %,Male - .,Male - %,Total - .,Total - %
WSP5,Gaspereau,Same as province or territory of residence,5,2011,"8,359",42.5,"6,437",35.7,"14,790",39.2
WSP6,St. Croix,Same as province or territory of residence,5,2011,"3,500",43.1,"2,904",37.8,"6,397",40.4
WSP7,Kennetcook,Same as province or territory of residence,5,2011,"1,067",41.1,825,32.7,"1,891",37
WSP8,Shubenacadie/Stewiacke,Same as province or territory of residence,5,2011,"11,792",44.6,"10,292",40.2,"22,026",42.4
WSP9,Salmon/Debert,Same as province or territory of residence,5,2011,"6,635",41.2,"4,998",34,"11,674",37.9
can,Canada,Another province or territory,6,2011,"733,315",5.3,"750,500",5.6,"1,483,815",5.4
CHB11,Lunenburg County,Another province or territory,6,2011,"1,509",7.2,"1,581",8,"3,523",8.7
CHB12,Queens County,Another province or territory,6,2011,140,2.9,220,4.8,585,6.3
CHB21,Clare,Another province or territory,6,2011,192,5.3,192,5.6,548,7.8
CHB22,Digby & Area,Another province or territory,6,2011,208,4.8,248,6.3,587,7.1
CHB23,Shelburne,Another province or territory,6,2011,355,5.7,365,6,735,5.9
CHB24,Yarmouth,Another province or territory,6,2011,705,6.4,715,7.2,"1,425",6.8
CHB31,Annapolis,Another province or territory,6,2011,775,10.3,825,11.9,"1,679",11.6
CHB32,Central Kings,Another province or territory,6,2011,770,7.5,728,7.9,"1,751",9
CHB33,Kingston/Greenwood,Another province or territory,6,2011,882,17.8,"1,028",22.2,"1,926",20.1
CHB34,Eastern Kings,Another province or territory,6,2011,498,7.7,438,7.2,"1,146",9.2
CHB35,Western Kings,Another province or territory,6,2011,465,7.9,484,8.8,"1,022",9
CHB41,Along The Shore,Another province or territory,6,2011,135,4.1,202,6.2,470,7.1
CHB42,East Hants,Another province or territory,6,2011,622,7.5,716,8.8,"1,477",9
CHB43,North Shore Area,Another province or territory,6,2011,174,7.6,83,3.7,371,8.2
CHB44,South Colchester,Another province or territory,6,2011,142,3.6,270,7.1,544,7
CHB45,Truro & Area,Another province or territory,6,2011,998,7.6,950,8.1,"2,228",8.9
CHB51,Pugwash and Area,Another province or territory,6,2011,204,9.1,210,9.8,598,13.6
CHB52,"Southhampton, Parrsboro, Advocate and Regions",Another province or territory,6,2011,72,5,140,10.7,220,8
CHB53,"Springhill, Oxford, Amherst and Regions",Another province or territory,6,2011,"1,082",11,"1,068",12.2,"2,228",12
CHB61,Central and East Pictou,Another province or territory,6,2011,717,4.9,816,6.1,"1,656",6
CHB62,Pictou West,Another province or territory,6,2011,217,4.9,337,7.9,792,9.2
CHB71,Antigonish Town and County,Another province or territory,6,2011,620,7.4,640,8.3,"1,395",8.7
CHB72,Guysborough County,Another province or territory,6,2011,115,3.3,175,5,365,5.2
CHB73,Strait Richmond,Another province or territory,6,2011,320,4.6,445,6.8,815,6.1
CHB81,Central Inverness,Another province or territory,6,2011,74,2.3,120,3.8,356,5.6
CHB82,North Inverness,Another province or territory,6,2011,76,5.1,90,6.8,193,6.8
CHB83,Victoria County,Another province or territory,6,2011,175,5.8,195,6.7,410,6.9
CHB84,Central Cape Breton County,Another province or territory,6,2011,566,2.9,780,4.6,"1,893",5.2
CHB85,East Cape Breton County,Another province or territory,6,2011,72,0.5,174,1.3,541,2
CHB86,Northside The Lakes,Another province or territory,6,2011,172,1.6,311,3.1,830,4
CHB91,Eastern Shore - Musquodoboit,Another province or territory,6,2011,606,5.9,861,8.3,"1,791",8.7
CHB92,West Hants,Another province or territory,6,2011,473,5.1,709,8.1,"1,263",7
CHB93,Cobequid,Another province or territory,6,2011,"4,368",12,"4,793",14,"9,746",13.8
CHB94,Dartmouth,Another province or territory,6,2011,"2,670",8.7,"2,965",11,"6,415",11.1
CHB95,Southeastern,Another province or territory,6,2011,"1,945",10.6,"2,126",12.4,"4,311",12.2
CHB96,Halifax Peninsula,Another province or territory,6,2011,"4,042",12,"3,617",11.6,"8,437",13
CHB97,Chebucto West,Another province or territory,6,2011,"3,780",9.5,"3,906",10.9,"8,603",11.4
CNT1201,Shelburne County,Another province or territory,6,2011,375,6,370,6,755,6.1
CNT1202,Yarmouth County,Another province or territory,6,2011,710,6.4,715,7.2,"1,420",6.8
CNT1203,Digby County,Another province or territory,6,2011,580,7.3,615,8.3,"1,200",7.9
CNT1204,Queens County,Another province or territory,6,2011,305,6.4,375,8.2,680,7.3
CNT1205,Annapolis County,Another province or territory,6,2011,"1,055",11.6,"1,150",13.5,"2,205",12.5
CNT1206,Lunenburg County,Another province or territory,6,2011,"1,685",8.1,"1,885",9.6,"3,565",8.8
