Occupational Group,Nominees
Structural metal and platework fabricators and fitters,28
"Deck officers, water transport",2
Purchasing and inventory control workers,5
Film and video camera operators,0
Utilities managers,0
Maîtres d'hôtel and hosts/hostesses,1
College and other vocational instructors,105
Sheriffs and bailiffs,0
Managers in horticulture,2
Mechanical engineers,93
Retail salespersons,10
Other business services managers,10
Urban and land use planners,1
Elementary and secondary school teacher assistants,0
Telecommunications installation and repair workers,8
"Camera, platemaking and other prepress occupations",0
Mechanical engineering technologists and technicians,20
Dancers,2
"Supervisors, furniture and fixtures manufacturing",0
Court clerks,0
"Contractors and supervisors, landscaping, grounds maintenance and horticulture services",1
Oil and solid fuel heating mechanics,0
"Machine operators, mineral and metal processing",0
Broadcast technicians,0
Fish and seafood plant workers,22
Information systems testing technicians,101
Editors,3
Coaches,3
"Other service support occupations, n.e.c.",1
Corporate sales managers,17
Railway conductors and brakemen/women,0
Program officers unique to government,0
Food and beverage servers,11
Elevator constructors and mechanics,0
"Supervisors, logging and forestry",0
Painters and decorators (except interior decorators),5
"Mail, postal and related workers",0
Administrative assistants,214
"Industrial butchers and meat cutters, poultry preparers and related workers",0
Artisans and craftspersons,4
Sheet metal workers,0
Insurance agents and brokers,32
"Pulping, papermaking and coating control operators",0
Non-destructive testers and inspection technicians,2
Firefighters,0
"Ground and water transport ticket agents, cargo service representatives and related clerks",0
"Supervisors, railway transport operations",0
Service station attendants,0
Labourers in rubber and plastic products manufacturing,0
Appliance servicers and repairers,1
Casino occupations,1
Pet groomers and animal care workers,1
Medical radiation technologists,1
Geological and mineral technologists and technicians,2
Social workers,5
Librarians,3
Fishermen/women,0
Postal and courier services managers,0
"Producers, directors, choreographers and related occupations",5
Plastics processing machine operators,1
Health information management occupations,1
Waterworks and gas maintenance workers,0
"Nurse aides, orderlies and patient service associates",292
"Machine operators and inspectors, electrical apparatus manufacturing",0
"Contractors and supervisors, heavy equipment operator crews",1
Residential and commercial installers and servicers,0
Bricklayers,5
Motor vehicle body repairers,11
Engineering managers,14
Chain saw and skidder operators,0
Airline ticket and service agents,2
Sports officials and referees,0
"Support occupations in motion pictures, broadcasting, photography and the performing arts",1
"Dental technologists, technicians and laboratory assistants",11
Interior designers and interior decorators,6
"Weavers, knitters and other fabric making occupations",0
"Supervisors, forest products processing",0
Industrial sewing machine operators,11
Floor covering installers,1
Furniture and fixture assemblers and inspectors,0
Transportation route and crew schedulers,0
"Plastic products assemblers, finishers and inspectors",0
"Other labourers in processing, manufacturing and utilities",0
Financial auditors and accountants,538
"Supervisors, mail and message distribution occupations",0
"Assessors, valuators and appraisers",0
"Recreation, sports and fitness policy researchers, consultants and program officers",2
Pharmacists,3
Technical occupations related to museums and art galleries,4
Managers in aquaculture,0
Trappers and hunters,0
"Supervisors, other mechanical and metal products manufacturing",0
Power engineers and power systems operators,3
Architecture and science managers,1
Metallurgical and materials engineers,1
"Tailors, dressmakers, furriers and milliners",4
Commissioned officers of the Canadian Forces,1
"Couriers, messengers and door-to-door distributors",0
Security guards and related security service occupations,2
Information systems analysts and consultants,482
"Health policy researchers, consultants and program officers",7
Pest controllers and fumigators,1
Professional occupations in religion,17
Other wood products assemblers and inspectors,0
Industrial and manufacturing engineers,26
Aircraft mechanics and aircraft inspectors,23
Petroleum engineers,1
Papermaking and finishing machine operators,0
Railway traffic controllers and marine traffic regulators,0
"Accommodation, travel, tourism and related services supervisors",31
Judges,0
"Industrial painters, coaters and metal finishing process operators",0
"Supervisors, general office and administrative support workers",3
Desktop publishing operators and related occupations,0
Facility operation and maintenance managers,10
Cooks,655
Labourers in fish and seafood processing,25
Sales and account representatives - wholesale trade (non-technical),5
"Inspectors and testers, mineral and metal processing",0
Air traffic controllers and related occupations,3
Plumbers,4
Correctional service officers,0
Architects,7
"Advertising, marketing and public relations managers",24
Rubber processing machine operators and related workers,0
Railway carmen/women,0
Construction trades helpers and labourers,9
"Process control and machine operators, food, beverage and associated products processing",1
Other medical technologists and technicians (except dental health),4
"Butchers, meat cutters and fishmongers - retail and wholesale",16
"Supervisors, food, beverage and associated products processing",6
"Education policy researchers, consultants and program officers",6
Hotel front desk clerks,19
"Program leaders and instructors in recreation, sport and fitness",9
Cleaning supervisors,26
Chefs,33
"Supervisors, printing and related occupations",2
Medical laboratory technologists,21
Power system electricians,1
Roofers and shinglers,3
"Fabric, fur and leather cutters",0
Entrepreneurs,7
Managers in health care,5
Survey interviewers and statistical clerks,1
Tilesetters,4
Other sales related occupations,0
Web designers and developers,33
Inspectors in public and environmental health and occupational health and safety,3
"Support occupations in accommodation, travel and facilities set-up services",2
Musicians and singers,1
Fishing vessel deckhands,0
Other professional occupations in health diagnosing and treating,5
Conservators and curators,1
"Engineer officers, water transport",0
Carpenters,18
Railway yard and track maintenance workers,0
Government managers - health and social policy development and program administration,0
School principals and administrators of elementary and secondary education,2
Other managers in public administration,1
"Supervisors, plastic and rubber products manufacturing",1
Land surveyors,0
Secondary school teachers,15
Computer programmers and interactive media developers,417
Dispatchers,1
Construction managers,22
Medical laboratory technicians and pathologists' assistants,2
Binding and finishing machine operators,0
Instructors of persons with disabilities,1
"Government managers - economic analysis, policy development and program administration",1
Journalists,2
"Plasterers, drywall installers and finishers and lathers",0
Dental assistants,2
Paralegal and related occupations,16
"Food counter attendants, kitchen helpers and related support occupations",73
Glass forming and finishing machine operators and glass cutters,0
Data entry clerks,2
"Supervisors, other products manufacturing and assembly",0
"Jewellers, jewellery and watch repairers and related occupations",0
"Contractors and supervisors, other construction trades, installers, repairers and servicers",5
Technical sales specialists - wholesale trade,27
Lumber graders and other wood processing inspectors and graders,1
"Drillers and blasters - surface mining, quarrying and construction",0
Other trades helpers and labourers,5
"Supervisors, supply chain, tracking and scheduling co-ordination occupations",25
Audio and video recording technicians,2
Financial sales representatives,180
"Securities agents, investment dealers and brokers",2
